MOTIF	LENGTH	GC	EVENT_p14	EVENT_p15	EVENT_p16	EVENT_p17	best_pval
FOXC2.H12CORE.0.SM.B	17	0.266043214947557	743565	380504	112239	12545	1e-07
FOXD2.H12CORE.0.S.B	20	0.276193495038589	669988	221156	36400	4402	1e-06
FOXD2.H12CORE.1.SM.B	15	0.326249268175087	684079	149691	14207	869	1e-06
FOXD3.H12CORE.0.P.C	14	0.39124516406362	737893	216946	22858	1794	1e-06
FOXD3.H12CORE.1.S.B	20	0.240532879818594	664956	241685	46499	6168	1e-07
FOXE1.H12CORE.0.SM.B	16	0.328467741935484	684701	178213	24630	2495	1e-06
FOXE1.H12CORE.1.S.C	11	0.285743868887377	728585	399486	154342	0	1e-07
FOXF1.H12CORE.0.P.C	12	0.309653465346535	569670	160606	24411	755	1e-06
FOXG1.H12CORE.0.PSM.A	15	0.414035087719298	656333	139036	19708	1683	1e-06
FOXH1.H12CORE.0.P.B	9	0.40759185480301	469607	38666	0	0	1e-05
FOXI1.H12CORE.0.SM.B	18	0.328099036224659	554642	108294	14142	1501	1e-06
FOXJ2.H12CORE.0.PSM.A	14	0.348432754569939	529970	95922	10890	1207	1e-06
FOXJ2.H12CORE.1.SM.B	17	0.284345312833148	540917	107097	17245	1939	1e-06
FOXJ2.H12CORE.2.S.B	20	0.293813930832928	785039	469660	159721	18053	1e-07
FOXJ3.H12CORE.0.SM.B	12	0.342425279488934	507526	68566	1739	236	1e-06
FOXK1.H12CORE.0.PS.A	10	0.2763	672715	120662	17769	0	1e-06
FOXK2.H12CORE.0.P.B	11	0.365454545454545	592016	97092	9297	0	1e-06
FOXL1.H12CORE.0.S.B	20	0.268736864228667	781876	466328	205127	103027	1e-08
FOXL2.H12CORE.0.PSM.A	10	0.23050505050505	713723	171253	17769	0	1e-06
FOXM1.H12CORE.0.P.B	12	0.320379537953795	729548	165992	18474	819	1e-06
FOXO1.H12CORE.0.PS.A	9	0.365365365365365	552714	70972	0	0	1e-06
FOXO3.H12CORE.0.PS.A	9	0.369737576772753	521982	40853	0	0	1e-05
FOXO4.H12CORE.0.SM.B	11	0.354483824928639	583584	75287	1453	0	1e-06
FOXO6.H12CORE.0.S.B	12	0.354198879840566	508089	54925	2354	103	1e-06
FOXP1.H12CORE.0.PS.A	9	0.325627641063883	555862	56398	0	0	1e-06
FOXP2.H12CORE.0.P.B	8	0.373751248751249	405152	0	0	0	1e-05
FOXP3.H12CORE.0.P.B	10	0.363189568706118	738166	379510	16336	0	1e-06
FOXR2.H12CORE.0.M.C	17	0.243531225439816	650764	280136	108616	54716	1e-08
GABPA.H12CORE.0.PSM.A	12	0.554470115519839	268398	15138	1190	110	1e-05
GATA1.H12CORE.0.P.B	18	0.512833333333333	292771	41921	8631	3554	1e-05
GATA1.H12CORE.1.PSM.A	10	0.38648111332008	417782	70558	5530	0	1e-06
GATA2.H12CORE.0.PSM.A	10	0.387722772277228	408927	75503	5722	0	1e-06
GATA2.H12CORE.1.P.B	18	0.478645311978645	388744	61374	11187	1721	1e-06
GATA3.H12CORE.0.PS.A	9	0.35585650917969	384418	56485	0	0	1e-06
GATA3.H12CORE.1.SM.B	11	0.307547956630525	420788	69793	7937	0	1e-06
GATA4.H12CORE.0.PSM.A	9	0.384444444444444	376211	56485	0	0	1e-06
GATA5.H12CORE.0.SM.B	10	0.349846241457859	401129	84748	10765	0	1e-06
GATA6.H12CORE.0.PSM.A	12	0.399040052962595	394976	78792	6937	448	1e-06
GBX1.H12CORE.0.S.B	12	0.370578623606305	229903	15105	412	32	1e-05
GBX1.H12CORE.1.S.B	20	0.351092233009709	388655	56879	5182	408	1e-06
GBX2.H12CORE.0.SM.B	12	0.374504586117088	219997	11991	282	0	1e-05
GBX2.H12CORE.1.S.B	20	0.312265068049255	487828	99028	10260	1066	1e-06
GCM1.H12CORE.0.S.B	11	0.627605090719845	95407	8185	309	0	1e-05
GCM2.H12CORE.0.SM.B	10	0.62551912568306	82495	6679	277	0	1e-05
GCR.H12CORE.0.PS.A	19	0.440953362052819	300053	39855	4906	662	1e-05
GCR.H12CORE.1.S.B	9	0.462818557796724	453597	60433	0	0	1e-06
GFI1.H12CORE.0.PSM.A	10	0.478714859437751	617490	147701	10136	0	1e-06
GFI1B.H12CORE.0.PSM.A	11	0.396090909090909	616174	107518	13733	0	1e-06
GFI1B.H12CORE.1.S.C	21	0.431274846599257	506896	87352	10934	1103	1e-06
GLI1.H12CORE.0.P.C	12	0.663423153692615	449600	79523	7335	730	1e-06
GLI2.H12CORE.0.PSM.A	16	0.643838785514206	376714	48497	3800	257	1e-06
GLI3.H12CORE.0.PS.A	16	0.64658312738132	376224	48654	4082	297	1e-06
GLI3.H12CORE.1.M.C	15	0.555629139072848	346766	49109	5332	574	1e-06
GLI4.H12CORE.0.P.C	23	0.553324039383114	509598	95747	15007	3549	1e-06
GLIS1.H12CORE.0.P.B	14	0.719714285714286	569854	85212	23450	847	1e-06
GLIS1.H12CORE.1.P.B	11	0.738443374807011	576803	114787	10730	0	1e-06
GLIS1.H12CORE.2.SM.B	19	0.639448802934147	380330	44061	3717	317	1e-06
GLIS2.H12CORE.0.SM.B	16	0.672137844208722	250746	21325	1420	60	1e-05
GLIS3.H12CORE.0.P.C	13	0.724692307692308	579828	220152	13970	1322	1e-06
GLIS3.H12CORE.1.S.C	12	0.729449938195303	271997	33043	1175	60	1e-05
GMEB1.H12CORE.0.P.C	9	0.636666666666667	115575	11570	0	0	1e-05
GMEB1.H12CORE.1.P.C	14	0.655694205393001	113897	9588	1240	104	1e-05
GMEB1.H12CORE.2.SM.B	15	0.478927813163482	53944	4725	400	15	1e-05
GMEB2.H12CORE.0.P.C	14	0.675039246467818	110844	10338	1391	125	1e-05
GMEB2.H12CORE.1.P.C	9	0.653679653679654	99241	14844	0	0	1e-05
GMEB2.H12CORE.2.SM.B	15	0.534059611394077	53273	3340	290	8	1e-05
GRHL1.H12CORE.0.PSM.A	19	0.464470071389347	281841	32628	3877	244	1e-05
GRHL1.H12CORE.1.PS.A	12	0.430529898741106	284052	36218	578	62	1e-05
GRHL2.H12CORE.0.P.B	13	0.580161943319838	433232	45128	3333	89	1e-06
GRHL2.H12CORE.1.P.B	11	0.476658476658477	357687	40427	840	0	1e-05
GSC.H12CORE.0.SM.B	10	0.419603448275862	205632	13006	531	0	1e-05
GSC2.H12CORE.0.SM.B	9	0.358687837770836	288946	18031	0	0	1e-05
GSX1.H12CORE.0.SM.B	9	0.271210253555476	375121	43090	0	0	1e-06
GSX2.H12CORE.0.SM.B	12	0.360564750784114	239991	13359	276	19	1e-05
HAND1.H12CORE.0.P.B	17	0.544337137840211	520190	95258	12297	1282	1e-06
HAND1.H12CORE.1.P.B	11	0.605212968849333	514675	86455	8529	0	1e-06
HAND2.H12CORE.0.P.B	18	0.530984996738421	525244	87517	8374	772	1e-06
HAND2.H12CORE.1.P.B	14	0.613	513386	102965	11298	1145	1e-06
HAND2.H12CORE.2.S.C	12	0.59744937694704	612722	66033	6327	385	1e-06
HEN1.H12CORE.0.S.B	14	0.629804094210874	428679	71614	8922	707	1e-06
HEN2.H12CORE.0.SM.B	16	0.685182521016813	406491	63492	5433	504	1e-06
HES1.H12CORE.0.S.C	23	0.667555689747719	144940	19476	2453	324	1e-05
HES1.H12CORE.1.S.C	13	0.675343109423028	139315	47415	25036	895	1e-06
HES2.H12CORE.0.S.C	14	0.645107997749145	142903	45371	19481	14521	1e-06
HES5.H12CORE.0.SM.B	14	0.645878665144236	249830	35887	3296	35	1e-05
HES7.H12CORE.0.S.B	10	0.615909090909091	144474	40239	4242	0	1e-05
HESX1.H12CORE.0.SM.B	11	0.252070937442742	461529	81105	13000	0	1e-06
HESX1.H12CORE.1.S.B	16	0.194929064417178	542891	177708	36874	8044	1e-06
HEY1.H12CORE.0.S.B	12	0.637778386272362	159336	41614	2846	139	1e-05
HEY2.H12CORE.0.S.B	13	0.634104833219878	155854	37972	3098	238	1e-05
HIC1.H12CORE.0.PSM.A	10	0.586303191489362	372734	34648	4190	0	1e-05
HIC2.H12CORE.0.P.B	8	0.586252653927813	634726	0	0	0	1e-05
HIF1A.H12CORE.0.P.B	11	0.588407005838199	99864	9922	2501	0	1e-05
HIF1A.H12CORE.1.P.B	19	0.583315789473684	158834	30243	2615	179	1e-05
HIF3A.H12CORE.0.P.C	18	0.612	200763	16149	1617	149	1e-05
HIF3A.H12CORE.1.P.C	8	0.620375	78813	0	0	0	1e-05
HINFP.H12CORE.0.P.B	20	0.65609756097561	382269	55641	6925	1054	1e-06
HINFP.H12CORE.1.P.B	8	0.689024390243902	62117	0	0	0	1e-05
HINFP.H12CORE.2.S.B	11	0.711890077004489	50933	5717	312	0	1e-05
HLF.H12CORE.0.P.B	11	0.322545454545455	361833	52298	4164	0	1e-06
HLF.H12CORE.1.SM.B	11	0.347414172280482	260595	30977	2337	0	1e-05
HMBX1.H12CORE.0.PSM.A	13	0.394485902141906	284532	31037	3243	310	1e-05
HME1.H12CORE.0.PSM.A	13	0.359255060728745	284662	22860	1827	68	1e-05
HME2.H12CORE.0.SM.B	10	0.354621435594887	261951	13669	1913	0	1e-05
HMGA1.H12CORE.0.P.B	11	0.093566715542522	792955	407958	115128	0	1e-07
HMX1.H12CORE.0.SM.B	11	0.295926065635609	441779	78557	9535	0	1e-06
HMX2.H12CORE.0.SM.B	11	0.363392220627155	406813	58429	4457	0	1e-06
HMX3.H12CORE.0.S.B	13	0.351517918283497	401804	46283	5068	468	1e-06
HNF1A.H12CORE.0.PS.A	15	0.270670670670671	605559	114755	12559	1106	1e-06
HNF1B.H12CORE.0.PS.A	15	0.260533333333333	611377	118772	13157	1195	1e-06
HNF1B.H12CORE.1.P.D	11	0.213090909090909	568120	133244	9544	0	1e-06
HNF4A.H12CORE.0.PSM.A	15	0.514437589725682	375259	51385	5861	692	1e-06
HNF4G.H12CORE.0.P.B	15	0.48744014732965	459329	79488	9955	1240	1e-06
HNF6.H12CORE.0.PM.A	10	0.279438314944835	331879	105851	32600	0	1e-06
HNF6.H12CORE.1.S.B	11	0.370115643633376	103901	4675	189	0	1e-05
HNF6.H12CORE.2.S.B	20	0.374800796812749	105329	6687	644	80	1e-05
HNF6.H12CORE.3.M.B	15	0.28331912475135	521569	91066	11113	2005	1e-06
HOMEZ.H12CORE.0.S.B	12	0.30067862799716	123014	20269	3066	399	1e-05
HSF1.H12CORE.0.PSM.A	18	0.381671595549923	390783	78312	15474	2869	1e-06
HSF1.H12CORE.1.P.B	9	0.411798396334479	503662	82864	0	0	1e-06
HSF1.H12CORE.2.P.B	16	0.61875	428006	49557	7018	1703	1e-06
HSF2.H12CORE.0.PSM.A	17	0.406357837498693	353245	69683	13912	2581	1e-06
HSF4.H12CORE.0.SM.B	19	0.432966858233196	324333	60664	11350	2015	1e-06
