MOTIF	LENGTH	GC	EVENT_p14	EVENT_p15	EVENT_p16	EVENT_p17	best_pval
PBX2.H12CORE.1.P.C	9	0.499444444444444	311070	29035	0	0	1e-05
PBX2.H12CORE.2.P.C	9	0.527	640220	58298	0	0	1e-06
PBX3.H12CORE.0.P.B	12	0.517333333333333	331959	52824	7401	614	1e-06
PBX3.H12CORE.1.P.B	10	0.540565085771948	333033	59455	5538	0	1e-06
PDX1.H12CORE.0.P.B	10	0.304737384140062	434163	64433	5880	0	1e-06
PDX1.H12CORE.1.PSM.A	13	0.388405921108924	261538	14668	449	29	1e-05
PHX2A.H12CORE.0.PS.A	20	0.346826857532379	382282	54563	6578	497	1e-06
PHX2A.H12CORE.1.SM.B	12	0.345106171201062	282605	23217	1670	18	1e-05
PHX2B.H12CORE.0.PSM.A	14	0.183555849732819	530422	117565	14927	617	1e-06
PHX2B.H12CORE.1.SM.B	11	0.312763395544852	307382	26851	3794	0	1e-05
PIT1.H12CORE.0.SM.B	14	0.361260737674709	455610	60069	4878	296	1e-06
PIT1.H12CORE.1.S.B	15	0.24017478955552	607222	187238	26489	3320	1e-06
PITX1.H12CORE.0.PSM.A	10	0.419733685220729	276444	26205	5069	0	1e-05
PITX1.H12CORE.1.S.B	20	0.363094571908226	550244	110635	16699	1801	1e-06
PITX2.H12CORE.0.SM.B	10	0.419647976149524	313858	37034	5069	0	1e-05
PITX3.H12CORE.0.SM.B	9	0.400467601870408	330642	55991	0	0	1e-06
PITX3.H12CORE.1.S.B	20	0.432791479820628	526104	47112	8820	4188	1e-06
PKNX1.H12CORE.0.P.B	12	0.49748743718593	339322	51043	9133	1054	1e-06
PKNX1.H12CORE.1.P.B	11	0.534136546184739	391180	66817	7179	0	1e-06
PKNX1.H12CORE.2.SM.B	8	0.506891659725115	365745	0	0	0	1e-05
PKNX1.H12CORE.3.SM.B	14	0.524543738200126	370923	62026	6809	654	1e-06
PKNX2.H12CORE.0.SM.B	15	0.501799429449199	378062	66544	8680	672	1e-06
PKNX2.H12CORE.1.SM.B	11	0.523379730317529	393641	65208	5773	0	1e-06
PO2F1.H12CORE.0.PS.A	11	0.261090909090909	610924	138851	16794	0	1e-06
PO2F2.H12CORE.0.PSM.A	11	0.297727272727273	602895	136728	20706	0	1e-06
PO2F2.H12CORE.1.M.C	15	0.3692870736349	319920	44812	3513	147	1e-06
PO2F2.H12CORE.2.S.B	13	0.268031437794251	542592	150253	22921	2675	1e-06
PO2F3.H12CORE.0.PS.A	13	0.357396131620026	465456	72955	8122	942	1e-06
PO2F3.H12CORE.1.S.C	19	0.32986429488355	635213	115681	15159	1896	1e-06
PO3F1.H12CORE.0.P.B	15	0.335274431057564	625446	148309	19546	1865	1e-06
PO3F1.H12CORE.1.PS.A	15	0.318586789554532	612254	124985	14315	2226	1e-06
PO3F1.H12CORE.2.S.C	9	0.265518790415056	373323	23547	0	0	1e-05
PO3F1.H12CORE.3.M.C	17	0.309921215707035	633391	103968	13555	1601	1e-06
PO3F2.H12CORE.0.P.B	16	0.320492895204263	559666	113795	15785	2289	1e-06
PO3F2.H12CORE.1.S.B	15	0.281303258145363	512737	101841	12482	1287	1e-06
PO3F2.H12CORE.2.SM.B	16	0.33681514732965	505527	85585	11583	1591	1e-06
PO3F3.H12CORE.0.P.C	12	0.309571619812584	571618	108522	10812	533	1e-06
PO3F3.H12CORE.1.P.C	18	0.347823762164474	610216	139126	18049	2153	1e-06
PO3F3.H12CORE.2.S.B	12	0.242952394960043	505940	109851	14505	0	1e-06
PO3F4.H12CORE.0.SM.B	15	0.297364717922477	536488	114247	15294	1875	1e-06
PO4F1.H12CORE.0.S.B	13	0.300497536705527	508066	107855	9879	720	1e-06
PO4F1.H12CORE.1.SM.B	17	0.255706229860365	590699	136981	17693	2181	1e-06
PO4F2.H12CORE.0.S.B	17	0.213477758646993	657953	184016	24973	3216	1e-06
PO4F3.H12CORE.0.SM.B	17	0.287525251921537	589049	120149	14994	1843	1e-06
PO5F1.H12CORE.0.P.B	17	0.354092321860251	615895	134173	17522	2459	1e-06
PO5F1.H12CORE.1.P.B	11	0.267971465154564	628268	150373	18538	0	1e-06
PO5F1.H12CORE.2.SM.B	17	0.30289662841563	540291	110067	16066	1658	1e-06
PO6F1.H12CORE.0.SM.B	12	0.383127204092783	341339	38295	4192	234	1e-05
PO6F2.H12CORE.0.S.B	13	0.305115480053445	380885	47815	6140	231	1e-06
PPARA.H12CORE.0.P.B	17	0.489846977366615	566921	99530	13139	1635	1e-06
PPARA.H12CORE.1.P.B	9	0.479869545659019	514508	66396	0	0	1e-06
PPARD.H12CORE.0.PSM.A	15	0.518962075848303	549053	96812	11523	1282	1e-06
PPARG.H12CORE.0.P.B	17	0.493081316610728	559039	102256	13301	2252	1e-06
PPARG.H12CORE.1.P.B	11	0.534982395955584	555290	114077	13796	0	1e-06
PRD13.H12CORE.0.P.B	11	0.667670078266105	461448	74974	8296	0	1e-06
PRD14.H12CORE.0.P.B	15	0.487751004016064	314965	50645	10580	524	1e-06
PRD15.H12CORE.0.P.B	18	0.549190396426578	496286	77140	8586	950	1e-06
PRD16.H12CORE.0.P.B	11	0.632004359277086	536631	110093	11705	0	1e-06
PRDM1.H12CORE.0.S.B	12	0.393424420355315	531423	94328	12879	1478	1e-06
PRDM1.H12CORE.1.PS.A	14	0.381857142857143	695737	159575	22827	3191	1e-06
PRDM4.H12CORE.0.PSM.A	20	0.485032894736842	490868	66045	6643	790	1e-06
PRDM5.H12CORE.0.P.B	15	0.612914862914863	578357	135274	18411	2335	1e-06
PRDM5.H12CORE.1.P.B	10	0.618312757201646	550772	98568	7875	0	1e-06
PRDM6.H12CORE.0.P.B	12	0.3555	813380	553532	210292	14125	1e-07
PRDM9.H12CORE.0.P.B	20	0.518493150684932	465144	84420	12069	1643	1e-06
PRGR.H12CORE.0.P.B	15	0.428	474620	78606	10047	1347	1e-06
PRGR.H12CORE.1.P.B	7	0.488202488202488	426850	0	0	0	1e-05
PROP1.H12CORE.0.PSM.A	16	0.295171205711264	434878	65415	7394	441	1e-06
PROP1.H12CORE.1.P.C	10	0.249243188698285	507140	98472	0	0	1e-06
PROX1.H12CORE.0.SM.B	13	0.501559496609002	143424	5980	666	63	1e-05
PRRX1.H12CORE.0.S.B	13	0.303939376965487	395374	66321	6755	742	1e-06
PRRX1.H12CORE.1.S.B	17	0.270364114114114	453909	105729	15612	1333	1e-06
PRRX2.H12CORE.0.SM.B	10	0.322199869508482	285599	8959	366	0	1e-05
PRRX2.H12CORE.1.S.B	16	0.270866297468354	427311	107945	14190	959	1e-06
PTF1A.H12CORE.0.P.B	19	0.517894736842105	576948	111273	14238	1577	1e-06
PTF1A.H12CORE.1.PS.A	10	0.586155378486056	506889	122420	14879	0	1e-06
RARA.H12CORE.0.PSM.A	11	0.528206252098332	601974	59492	3501	0	1e-06
RARA.H12CORE.1.P.B	19	0.542746323331358	459838	76683	10299	1403	1e-06
RARA.H12CORE.2.P.B	17	0.540261568236467	400779	65244	10620	1370	1e-06
RARA.H12CORE.3.P.B	21	0.533545197740113	694235	393151	204313	141974	1e-08
RARB.H12CORE.0.SM.B	10	0.507865957660279	477785	47792	1458	0	1e-06
RARB.H12CORE.1.P.B	12	0.553583009079118	685235	156411	20549	1461	1e-06
RARG.H12CORE.0.P.B	18	0.584118357487923	392102	68945	9874	1425	1e-06
RARG.H12CORE.1.PSM.A	11	0.51947392239986	603625	58657	2734	0	1e-06
RARG.H12CORE.2.SM.B	17	0.470712460366287	605595	103290	12732	1006	1e-06
RARG.H12CORE.3.S.B	17	0.453389009924958	644902	191685	14482	1037	1e-06
RAX2.H12CORE.0.S.B	14	0.294959027305269	389126	67598	8063	549	1e-06
RBAK.H12CORE.0.P.C	16	0.557167658730159	481769	80804	8599	933	1e-06
REL.H12CORE.0.P.B	15	0.536901408450704	488653	92470	12151	1794	1e-06
RELB.H12CORE.0.P.B	11	0.560873755220045	422238	59854	6589	0	1e-06
REST.H12CORE.0.P.B	22	0.608786610878661	411419	69886	12258	2111	1e-06
RFX1.H12CORE.0.PM.A	12	0.582988980716253	470627	61044	7561	288	1e-06
RFX1.H12CORE.1.PSM.A	18	0.570906432748538	288229	44358	10286	3229	1e-06
RFX1.H12CORE.2.S.C	11	0.546946897152095	222910	19656	2144	0	1e-05
RFX2.H12CORE.0.PS.A	14	0.514980884606023	309066	45455	6938	1391	1e-06
RFX2.H12CORE.1.PSM.A	16	0.49660298324479	312154	43172	8810	2070	1e-06
RFX3.H12CORE.0.PSM.A	14	0.567119655286709	331079	49185	10371	2432	1e-06
RFX3.H12CORE.1.PS.A	14	0.523042285484473	313819	44269	8100	804	1e-06
RFX3.H12CORE.2.S.B	20	0.568878504672897	666259	222358	39113	5299	1e-06
RFX4.H12CORE.0.SM.B	16	0.529925299834574	287525	39063	8289	1948	1e-05
RFX5.H12CORE.0.P.B	20	0.533586956521739	371100	55311	7115	1216	1e-06
RFX5.H12CORE.1.PSM.A	12	0.564185814185814	412461	78786	14598	478	1e-06
RFX5.H12CORE.2.S.B	18	0.545869783537212	265337	36478	8085	1746	1e-05
RFX6.H12CORE.0.P.C	11	0.588909090909091	501651	69927	18853	0	1e-06
RFX7.H12CORE.0.SM.B	12	0.552730899489122	146392	10981	1106	10	1e-05
RHXF1.H12CORE.0.SM.B	13	0.484334451026108	245173	22153	1975	199	1e-05
RHXF2.H12CORE.0.SM.B	11	0.433263240772746	296373	36029	2380	0	1e-05
RORA.H12CORE.0.P.C	13	0.515932842213466	567561	78334	6371	614	1e-06
RORB.H12CORE.0.SM.B	17	0.480687402524792	515377	141568	5869	1003	1e-06
RORG.H12CORE.0.M.C	20	0.506597799003322	475560	175590	9695	983	1e-06
RORG.H12CORE.1.PS.A	12	0.432416666666667	422209	56316	5427	426	1e-06
RUNX1.H12CORE.0.P.B	10	0.516167664670659	407170	101463	12028	0	1e-06
RUNX2.H12CORE.0.P.B	13	0.533384615384615	448662	85496	10499	1069	1e-06
RUNX2.H12CORE.1.S.B	11	0.504390458071125	242685	8969	1263	0	1e-05
RUNX2.H12CORE.2.M.C	18	0.459271198582363	408457	70077	9943	1460	1e-06
RUNX3.H12CORE.0.P.B	11	0.530682957964804	474638	82453	10487	0	1e-06
RUNX3.H12CORE.1.S.B	19	0.517696926880961	286710	50517	3507	325	1e-06
RUNX3.H12CORE.2.S.B	11	0.490641131733459	291349	30757	1360	0	1e-05
RX.H12CORE.0.SM.B	16	0.381417730320985	378829	65861	8242	570	1e-06
RXRA.H12CORE.0.PS.A	9	0.54	547983	66396	0	0	1e-06
RXRA.H12CORE.1.S.C	14	0.515823151311599	523703	83674	8668	1002	1e-06
RXRA.H12CORE.2.SM.B	15	0.472809304190896	434761	68400	8866	1086	1e-06
RXRA.H12CORE.3.P.B	21	0.575164325909112	685054	323398	106374	8058	1e-07
RXRB.H12CORE.0.P.C	14	0.530398173255316	574510	121233	16630	1956	1e-06
RXRB.H12CORE.1.SM.B	17	0.528047108673978	424974	65193	12064	1409	1e-06
RXRB.H12CORE.2.PS.A	11	0.542638879272543	450455	88221	10625	0	1e-06
RXRG.H12CORE.0.P.B	10	0.545631067961165	670864	129356	10733	0	1e-06
RXRG.H12CORE.1.SM.B	16	0.508154085837773	412672	65126	8730	1226	1e-06
RXRG.H12CORE.2.P.B	23	0.529040823099901	679530	321033	145754	67814	1e-08
SALL1.H12CORE.0.P.C	16	0.6764375	757813	323411	101364	20238	1e-07
SALL4.H12CORE.0.P.B	11	0.686504686504687	628759	157522	23350	0	1e-06
SATB1.H12CORE.0.P.B	19	0.147105263157895	702494	347831	88827	18450	1e-07
SATB1.H12CORE.1.P.B	12	0.158122503328895	564467	151268	21777	931	1e-06
SCRT1.H12CORE.0.PSM.A	13	0.502038461538462	370460	49682	5401	461	1e-06
SCRT2.H12CORE.0.PSM.A	16	0.542801816239316	437526	58657	4103	322	1e-06
SHOX.H12CORE.0.SM.B	19	0.332392881668113	429680	87852	13256	1238	1e-06
SHOX.H12CORE.1.S.B	13	0.334806585356036	311896	35727	3687	352	1e-05
SHOX2.H12CORE.0.S.B	18	0.283774103290183	478037	118069	15436	1384	1e-06
SHOX2.H12CORE.1.S.C	13	0.344812086570328	298094	33330	3771	331	1e-05
SIX1.H12CORE.0.P.B	14	0.401955187669473	487451	80560	7561	750	1e-06
SIX1.H12CORE.1.SM.B	13	0.490384615384615	112756	9636	695	88	1e-05
SIX2.H12CORE.0.P.B	14	0.391610881640792	501395	84627	7781	1388	1e-06
SIX2.H12CORE.1.M.C	15	0.486427145708583	111677	7488	539	13	1e-05
SIX2.H12CORE.2.SM.B	9	0.484732247678163	69611	643	0	0	1e-05
SIX3.H12CORE.0.SM.B	9	0.466729120535968	111499	12868	0	0	1e-05
SIX4.H12CORE.0.P.B	14	0.432003922850605	423988	60236	6814	525	1e-06
SIX4.H12CORE.1.M.C	15	0.516724738675958	139280	10954	923	56	1e-05
SIX6.H12CORE.0.SM.B	9	0.445486612153279	123689	21580	0	0	1e-05
SKOR1.H12CORE.0.M.C	18	0.310183678634704	406278	85715	9147	756	1e-06
SKOR1.H12CORE.1.S.C	16	0.310786128903122	365237	64633	4328	160	1e-06
SKOR2.H12CORE.0.SM.B	15	0.281054403202329	391571	78911	5422	303	1e-06
SMAD2.H12CORE.0.P.B	12	0.538147138964578	570565	89604	9679	716	1e-06
SMAD2.H12CORE.1.P.B	10	0.5746	491519	90210	8190	0	1e-06
SMAD3.H12CORE.0.S.B	11	0.48180114291706	251655	25722	2371	0	1e-05
SMAD3.H12CORE.1.P.B	9	0.556333333333333	491182	62603	0	0	1e-06
SMAD3.H12CORE.2.P.C	14	0.559396299902629	666825	248532	26546	2102	1e-06
SMAD4.H12CORE.0.P.B	8	0.620758483033932	360543	0	0	0	1e-05
SMAD4.H12CORE.1.P.B	13	0.559707677239509	562293	101180	16847	1113	1e-06
SMAD5.H12CORE.0.M.C	10	0.585715553977273	124290	14054	1817	0	1e-05
SNAI1.H12CORE.0.PSM.A	12	0.576499434585943	590039	88349	7044	462	1e-06
SNAI2.H12CORE.0.PSM.A	11	0.614001460387002	595904	103763	12179	0	1e-06
SNAI3.H12CORE.0.S.C	11	0.576632227263616	601826	58466	4828	0	1e-06
SOLH2.H12CORE.0.S.C	11	0.614830717599447	146212	16664	1092	0	1e-05
SOX1.H12CORE.0.S.B	17	0.309372979961215	552831	100692	13623	1853	1e-06
SOX1.H12CORE.1.S.B	9	0.401862529745561	591735	140601	0	0	1e-06
SOX10.H12CORE.0.PSM.A	23	0.390873869995695	542871	109892	13918	1848	1e-06
SOX10.H12CORE.1.PSM.A	11	0.384021414598991	480979	69065	6778	0	1e-06
SOX10.H12CORE.2.S.C	14	0.505009238942141	134993	7544	553	31	1e-05
SOX11.H12CORE.0.P.B	12	0.451416666666667	666210	149103	23479	1579	1e-06
SOX11.H12CORE.1.S.B	13	0.538261608437047	83534	7659	903	54	1e-05
SOX12.H12CORE.0.SM.B	14	0.426442644264426	411686	34286	1217	74	1e-05
SOX13.H12CORE.0.P.B	12	0.409362549800797	682084	158522	17699	1579	1e-06
SOX14.H12CORE.0.SM.B	19	0.368958109559613	532499	96001	10682	805	1e-06
SOX15.H12CORE.0.P.B	8	0.398722627737226	561999	0	0	0	1e-05
SOX17.H12CORE.0.PS.A	12	0.419956140350877	520333	86663	9413	348	1e-06
SOX17.H12CORE.1.P.B	15	0.367165171153207	725134	128968	14648	1458	1e-06
SOX17.H12CORE.2.S.C	18	0.303204759163308	509206	96139	10152	1048	1e-06
SOX18.H12CORE.0.SM.B	9	0.383940650549968	377071	41766	0	0	1e-05
SOX2.H12CORE.0.P.B	12	0.397384971863621	637035	106813	9373	0	1e-06
SOX2.H12CORE.1.P.B	17	0.371433603381472	693417	132254	14591	1606	1e-06
SOX2.H12CORE.2.S.B	10	0.316696902037399	507037	67468	4807	0	1e-06
SOX2.H12CORE.3.S.B	12	0.283034407027818	546063	115035	14524	962	1e-06
SOX21.H12CORE.0.S.B	18	0.378437255231062	605775	130613	16266	1646	1e-06
SOX3.H12CORE.0.PM.A	11	0.375291725923495	460681	70045	8725	0	1e-06
SOX3.H12CORE.1.S.C	16	0.401385554221689	476781	75998	9464	804	1e-06
SOX30.H12CORE.0.P.C	11	0.519423307969563	558046	62741	5386	0	1e-06
SOX30.H12CORE.1.SM.B	10	0.409264820375931	388687	61096	5050	0	1e-06
SOX4.H12CORE.0.PSM.A	13	0.453785840215273	594495	110983	12568	1367	1e-06
SOX5.H12CORE.0.P.B	9	0.391452991452992	478292	54798	0	0	1e-06
SOX6.H12CORE.0.P.B	10	0.389728096676737	587419	102812	8266	0	1e-06
SOX7.H12CORE.0.PS.A	9	0.391765369430344	517908	54798	0	0	1e-06
SOX7.H12CORE.1.SM.B	17	0.32856060516378	580231	128906	16971	1675	1e-06
SOX8.H12CORE.0.PSM.A	17	0.408352941176471	611565	126459	16600	1937	1e-06
SOX8.H12CORE.1.PS.A	11	0.400309437854564	457309	54147	4223	0	1e-06
SOX9.H12CORE.0.PS.A	21	0.367790476190476	551337	114040	15333	1663	1e-06
SOX9.H12CORE.1.PS.A	10	0.345556750941366	480552	76098	11721	0	1e-06
SOX9.H12CORE.2.S.B	17	0.330440594209796	627475	138124	15549	1595	1e-06
SP1.H12CORE.0.P.B	14	0.774312196557305	449183	142243	20606	5024	1e-06
SP1.H12CORE.1.SM.B	14	0.713277771091588	338508	122133	8954	1248	1e-06
SP1.H12CORE.2.P.B	21	0.750170415814588	572794	205022	45353	13646	1e-07
SP2.H12CORE.0.P.D	12	0.791499330655957	614118	182038	20514	2684	1e-06
SP2.H12CORE.1.P.B	21	0.686177248677249	597448	236259	59027	18338	1e-07
SP3.H12CORE.0.P.B	19	0.78424223208624	490104	159850	30471	9776	1e-06
SP3.H12CORE.1.S.B	11	0.696036838291661	321197	121379	8054	0	1e-06
SP4.H12CORE.0.P.C	15	0.717741935483871	506573	165258	27289	7160	1e-06
SP4.H12CORE.1.S.B	12	0.681531830238727	272293	112037	8852	1152	1e-06
SP4.H12CORE.2.P.B	21	0.710162002945508	771299	443908	125272	34910	1e-07
SP5.H12CORE.0.P.B	14	0.744877489611692	599563	159672	29995	4143	1e-06
SP5.H12CORE.1.P.B	25	0.662012072434608	750392	431139	193350	71881	1e-08
SP7.H12CORE.0.P.B	14	0.317871371656232	534475	90325	9500	1008	1e-06
SP8.H12CORE.0.SM.B	12	0.684689081706435	209224	36353	7921	634	1e-05
SP9.H12CORE.0.P.B	14	0.327344877344877	543082	89994	9805	1077	1e-06
SP9.H12CORE.1.S.C	12	0.712815965771548	214217	37746	9295	1152	1e-05
SPDEF.H12CORE.0.PSM.A	12	0.553519934278912	72782	8347	801	68	1e-05
SPDEF.H12CORE.1.SM.B	20	0.549702380952381	213302	17182	1019	54	1e-05
SPI1.H12CORE.0.P.B	14	0.482160696446411	635684	169353	37457	3788	1e-06
SPI1.H12CORE.1.S.B	12	0.524484350209145	514992	75451	10529	0	1e-06
SPIB.H12CORE.0.P.B	16	0.46036889332004	684081	187368	37702	4186	1e-06
SPIB.H12CORE.1.S.C	13	0.39820958675374	516157	100888	19437	1374	1e-06
SPIB.H12CORE.2.SM.B	16	0.441718397291196	588109	139538	27289	3230	1e-06
SRBP1.H12CORE.0.P.B	12	0.53475	548699	218621	8465	0	1e-06
SRBP1.H12CORE.1.S.C	12	0.581166792263251	151528	14084	480	16	1e-05
SRBP2.H12CORE.0.S.B	12	0.566747513351953	242008	82944	2430	153	1e-06
SRBP2.H12CORE.1.P.B	13	0.632989936834507	557613	121248	21289	2443	1e-06
SRBP2.H12CORE.2.M.C	12	0.497214874351409	503270	45567	4335	409	1e-06
SRF.H12CORE.0.PSM.A	17	0.415177463390419	433263	75193	13197	2687	1e-06
SRY.H12CORE.0.S.B	12	0.387603215993046	563293	140220	11419	1053	1e-06
SRY.H12CORE.1.S.B	17	0.329246452679432	564357	108140	14091	1215	1e-06
STA5A.H12CORE.0.P.B	11	0.389636183082062	554353	128474	16585	0	1e-06
STA5B.H12CORE.0.P.B	13	0.363846153846154	593178	144061	25024	3098	1e-06
STAT1.H12CORE.0.P.B	20	0.441784989858012	670364	163292	20744	2533	1e-06
STAT1.H12CORE.1.P.B	18	0.384502923976608	807081	318743	43479	5338	1e-07
STAT2.H12CORE.0.P.B	18	0.384388888888889	811501	360752	50108	6365	1e-07
STAT3.H12CORE.0.P.B	13	0.483153846153846	475872	76334	7251	846	1e-06
STAT4.H12CORE.0.P.B	11	0.434454545454545	575920	101877	11404	0	1e-06
STAT6.H12CORE.0.P.B	13	0.406890704485895	563250	112678	14827	1446	1e-06
STF1.H12CORE.0.PSM.A	12	0.543881644934804	477968	112315	21650	1201	1e-06
SUH.H12CORE.0.P.B	11	0.572649572649573	500117	65172	2248	0	1e-06
TAF1.H12CORE.0.P.B	15	0.64471403812825	360698	48990	6810	1474	1e-06
TAL1.H12CORE.0.P.B	19	0.487827961512172	353163	50623	7051	1096	1e-06
TAL1.H12CORE.1.P.B	14	0.494018296973962	679156	153281	22025	2410	1e-06
TAL1.H12CORE.2.P.B	14	0.51827731092437	638209	151999	23247	3115	1e-06
TBP.H12CORE.0.P.B	10	0.250150451354062	559999	71226	6802	0	1e-06
TBR1.H12CORE.0.PS.A	18	0.466666666666667	494000	56914	6048	695	1e-06
TBX1.H12CORE.0.S.B	15	0.500197823936696	637578	152640	12408	1265	1e-06
TBX15.H12CORE.0.SM.B	13	0.499839819865998	379776	51029	6663	597	1e-06
TBX18.H12CORE.0.M.C	12	0.481804068260721	484254	55909	6968	366	1e-06
TBX19.H12CORE.0.PS.A	22	0.425119648632843	382284	70282	6143	731	1e-06
TBX19.H12CORE.1.SM.B	13	0.415532994923858	392066	57926	6849	807	1e-06
TBX2.H12CORE.0.SM.B	10	0.494254177841964	500834	51498	5629	0	1e-06
TBX20.H12CORE.0.P.C	14	0.520446766348406	478491	71452	8306	864	1e-06
TBX20.H12CORE.1.M.C	11	0.498341315523529	467173	60234	6133	0	1e-06
TBX20.H12CORE.2.SM.B	18	0.499895639907299	515343	72011	7975	885	1e-06
TBX21.H12CORE.0.PSM.A	13	0.450364997263484	521687	61451	6979	752	1e-06
TBX3.H12CORE.0.PSM.A	12	0.522125723738627	477064	60109	8577	507	1e-06
TBX4.H12CORE.0.PS.A	9	0.55864504027364	547945	36487	0	0	1e-05
TBX4.H12CORE.1.S.B	23	0.453964583058015	523228	128313	17352	1444	1e-06
TBX5.H12CORE.0.PS.A	9	0.543456543456543	473837	47822	0	0	1e-06
TBX5.H12CORE.1.P.B	13	0.528461538461538	556082	89402	9575	880	1e-06
TBX5.H12CORE.2.S.B	26	0.456605661995996	510302	81823	8241	823	1e-06
TBX6.H12CORE.0.PSM.A	12	0.463153965269329	470087	52229	6382	366	1e-06
TBXT.H12CORE.0.PS.A	20	0.452958579881657	486448	75578	14921	6774	1e-06
TBXT.H12CORE.1.PSM.A	12	0.444938027860042	419902	57507	6602	437	1e-06
TCF21.H12CORE.0.PS.A	12	0.573166666666667	490533	111758	13841	967	1e-06
TCF21.H12CORE.1.SM.B	12	0.443792874529763	317334	32478	3888	210	1e-05
TCF7.H12CORE.0.PSM.A	15	0.449882035726323	596110	101659	9974	887	1e-06
TEAD1.H12CORE.0.PSM.A	13	0.507461538461538	502545	113270	35408	1500	1e-06
TEAD1.H12CORE.1.P.C	13	0.372461538461538	637802	112788	12475	1201	1e-06
TEAD1.H12CORE.2.S.C	19	0.427829607463475	564949	104301	12366	1578	1e-06
TEAD2.H12CORE.0.PSM.A	13	0.476135286480114	423226	53232	4696	289	1e-06
TEAD3.H12CORE.0.PS.A	13	0.518307692307692	499017	110848	41000	3056	1e-06
TEAD3.H12CORE.1.S.B	18	0.447196509906305	533442	81287	10147	1433	1e-06
TEAD4.H12CORE.0.PS.A	12	0.469333333333333	517512	118075	8675	704	1e-06
TEAD4.H12CORE.1.P.B	16	0.470082364341085	554905	95640	11450	1234	1e-06
TEF.H12CORE.0.SM.B	13	0.365570158484731	250606	35256	1495	48	1e-05
TF2L1.H12CORE.0.PSM.A	20	0.531173452499172	170419	16303	1180	126	1e-05
TF2L1.H12CORE.1.P.B	9	0.535770176615247	420880	42890	0	0	1e-06
TF2LX.H12CORE.0.SM.B	8	0.464738805970149	403180	0	0	0	1e-05
TF2LX.H12CORE.1.SM.B	16	0.494180841539839	362503	65943	6801	662	1e-06
TF2LY.H12CORE.0.SM.B	14	0.507154321253027	391977	68495	6810	578	1e-06
TF2LY.H12CORE.1.SM.B	14	0.512155297532656	337793	61840	6911	441	1e-06
TF65.H12CORE.0.P.B	13	0.553476553476554	411939	72152	7138	792	1e-06
TF7L1.H12CORE.0.PM.A	12	0.392666666666667	559126	82209	8723	656	1e-06
TF7L1.H12CORE.1.P.C	12	0.344372509960159	638712	113640	11669	743	1e-06
TF7L1.H12CORE.2.S.C	17	0.590215594434495	121957	6985	461	49	1e-05
TF7L2.H12CORE.0.P.B	12	0.435564435564436	512481	77243	7252	488	1e-06
TFAP4.H12CORE.0.PSM.A	12	0.486303793884485	409674	66336	8626	826	1e-06
TFCP2.H12CORE.0.SM.B	26	0.512685778247621	176980	16170	1670	237	1e-05
TFCP2.H12CORE.1.SM.B	21	0.506345710090204	204104	16460	1620	196	1e-05
TFCP2.H12CORE.2.S.C	13	0.465205905205905	111151	7224	1000	109	1e-05
TFDP1.H12CORE.0.P.B	11	0.727456011730205	211796	34631	4571	0	1e-05
TFE2.H12CORE.0.PS.A	10	0.633033033033033	587543	60830	6518	0	1e-06
TFE3.H12CORE.0.PSM.A	11	0.546907637816729	259978	30913	1958	0	1e-05
TFEB.H12CORE.0.SM.B	12	0.501733500417711	283488	30086	1736	140	1e-05
TFEB.H12CORE.1.P.C	11	0.500587969244686	450471	65581	7384	0	1e-06
TFEC.H12CORE.0.M.B	14	0.518830697701966	297526	30168	1968	184	1e-05
TFEC.H12CORE.1.SM.B	13	0.519144248706413	158980	20321	2047	205	1e-05
TGIF1.H12CORE.0.PSM.A	8	0.510171568627451	353671	0	0	0	1e-05
TGIF1.H12CORE.1.S.B	17	0.45355128352711	444647	73810	7295	815	1e-06
TGIF2.H12CORE.0.S.B	16	0.485831832733093	409914	70197	7232	699	1e-06
TGIF2.H12CORE.1.PSM.A	10	0.479087452471483	390040	35440	3594	0	1e-05
THA.H12CORE.0.P.B	17	0.572411764705882	593205	291990	24105	6577	1e-06
THA.H12CORE.1.PS.A	8	0.542219387755102	590356	0	0	0	1e-05
THA.H12CORE.2.S.B	16	0.473587674247982	579851	74500	5071	414	1e-06
THAP1.H12CORE.0.P.B	23	0.62868076963963	412950	79076	11382	1512	1e-06
THB.H12CORE.0.P.B	17	0.558176470588235	596487	338442	225905	16467	1e-07
THB.H12CORE.1.PSM.A	9	0.539045069165551	607519	220684	0	0	1e-06
THB.H12CORE.2.SM.B	14	0.498546447927775	377064	60010	7402	765	1e-06
THB.H12CORE.3.S.C	22	0.454045587843242	538326	270767	9959	543	1e-06
TLX2.H12CORE.0.SM.B	12	0.35975926567371	278699	27488	1216	31	1e-05
TLX3.H12CORE.0.SM.B	12	0.353219696969697	314624	8741	695	48	1e-05
TRPS1.H12CORE.0.P.B	8	0.361392405063291	352375	0	0	0	1e-05
TWST1.H12CORE.0.P.B	18	0.38604797979798	568678	102521	12904	1569	1e-06
TWST1.H12CORE.1.P.B	16	0.4656875	541139	103949	10672	1072	1e-06
TWST2.H12CORE.0.P.B	19	0.560804020100502	503104	86102	12123	1623	1e-06
TWST2.H12CORE.1.P.B	10	0.566532663316583	502787	84743	13697	0	1e-06
TYY1.H12CORE.0.PSM.A	12	0.590096860387442	380144	52234	9067	968	1e-06
TYY1.H12CORE.1.S.B	11	0.527783951989331	344798	13711	1711	0	1e-05
