Model	Transcription factor
RUNX2_HUMAN.H11MO.0.A	RUNX2
RUNX3_HUMAN.H11MO.0.A	RUNX3
RXRA_HUMAN.H11MO.0.A	RXRA
RXRA_HUMAN.H11MO.1.A	RXRA
SIX1_HUMAN.H11MO.0.A	SIX1
SIX2_HUMAN.H11MO.0.A	SIX2
SMAD2_HUMAN.H11MO.0.A	SMAD2
SNAI2_HUMAN.H11MO.0.A	SNAI2
SOX10_HUMAN.H11MO.1.A	SOX10
SOX2_HUMAN.H11MO.0.A	SOX2
SOX2_HUMAN.H11MO.1.A	SOX2
SP1_HUMAN.H11MO.0.A	SP1
SP1_HUMAN.H11MO.1.A	SP1
SP2_HUMAN.H11MO.0.A	SP2
SP4_HUMAN.H11MO.0.A	SP4
SP4_HUMAN.H11MO.1.A	SP4
SPI1_HUMAN.H11MO.0.A	SPI1
SPIB_HUMAN.H11MO.0.A	SPIB
SRBP1_HUMAN.H11MO.0.A	SREBF1
SRF_HUMAN.H11MO.0.A	SRF
STA5A_HUMAN.H11MO.0.A	STAT5A
STA5B_HUMAN.H11MO.0.A	STAT5B
STAT1_HUMAN.H11MO.0.A	STAT1
STAT1_HUMAN.H11MO.1.A	STAT1
STAT2_HUMAN.H11MO.0.A	STAT2
STAT3_HUMAN.H11MO.0.A	STAT3
STAT4_HUMAN.H11MO.0.A	STAT4
SUH_HUMAN.H11MO.0.A	RBPJ
TAF1_HUMAN.H11MO.0.A	TAF1
TAL1_HUMAN.H11MO.0.A	TAL1
TAL1_HUMAN.H11MO.1.A	TAL1
TBP_HUMAN.H11MO.0.A	TBP
TBX21_HUMAN.H11MO.0.A	TBX21
TCF7_HUMAN.H11MO.0.A	TCF7
TEAD1_HUMAN.H11MO.0.A	TEAD1
TEAD4_HUMAN.H11MO.0.A	TEAD4
TF65_HUMAN.H11MO.0.A	RELA
TF7L2_HUMAN.H11MO.0.A	TCF7L2
TFAP4_HUMAN.H11MO.0.A	TFAP4
TFE2_HUMAN.H11MO.0.A	TCF3
TGIF1_HUMAN.H11MO.0.A	TGIF1
TWST1_HUMAN.H11MO.0.A	TWIST1
TWST1_HUMAN.H11MO.1.A	TWIST1
TYY1_HUMAN.H11MO.0.A	YY1
USF1_HUMAN.H11MO.0.A	USF1
USF2_HUMAN.H11MO.0.A	USF2
VDR_HUMAN.H11MO.0.A	VDR
VDR_HUMAN.H11MO.1.A	VDR
ZBT17_HUMAN.H11MO.0.A	ZBTB17
ZBT7A_HUMAN.H11MO.0.A	ZBTB7A
ZEB1_HUMAN.H11MO.0.A	ZEB1
ZFP42_HUMAN.H11MO.0.A	ZFP42
ZFX_HUMAN.H11MO.0.A	ZFX
ZFX_HUMAN.H11MO.1.A	ZFX
ZN143_HUMAN.H11MO.0.A	ZNF143
ZN263_HUMAN.H11MO.0.A	ZNF263
ZN263_HUMAN.H11MO.1.A	ZNF263
ZN274_HUMAN.H11MO.0.A	ZNF274
ZN281_HUMAN.H11MO.0.A	ZNF281
ZN335_HUMAN.H11MO.0.A	ZNF335
ZN335_HUMAN.H11MO.1.A	ZNF335
AHR_HUMAN.H11MO.0.B	AHR
ALX1_HUMAN.H11MO.0.B	ALX1
AP2B_HUMAN.H11MO.0.B	TFAP2B
ARNT_HUMAN.H11MO.0.B	ARNT
ATF1_HUMAN.H11MO.0.B	ATF1
ATF2_HUMAN.H11MO.0.B	ATF2
ATF2_HUMAN.H11MO.1.B	ATF2
ATF6A_HUMAN.H11MO.0.B	ATF6
ATOH1_HUMAN.H11MO.0.B	ATOH1
BATF3_HUMAN.H11MO.0.B	BATF3
BHA15_HUMAN.H11MO.0.B	BHLHA15
BRAC_HUMAN.H11MO.1.B	T
CEBPG_HUMAN.H11MO.0.B	CEBPG
CRX_HUMAN.H11MO.0.B	CRX
DBP_HUMAN.H11MO.0.B	DBP
E2F2_HUMAN.H11MO.0.B	E2F2
E2F5_HUMAN.H11MO.0.B	E2F5
E2F7_HUMAN.H11MO.0.B	E2F7
EHF_HUMAN.H11MO.0.B	EHF
ELK1_HUMAN.H11MO.0.B	ELK1
EPAS1_HUMAN.H11MO.0.B	EPAS1
ERR3_HUMAN.H11MO.0.B	ESRRG
ETS2_HUMAN.H11MO.0.B	ETS2
