Model	Transcription factor
HXC6_MOUSE.H11MO.0.D	Hoxc6
HXC8_MOUSE.H11MO.0.D	Hoxc8
HXC9_MOUSE.H11MO.0.A	Hoxc9
HXD10_MOUSE.H11MO.0.D	Hoxd10
HXD13_MOUSE.H11MO.0.D	Hoxd13
HXD4_MOUSE.H11MO.0.D	Hoxd4
HXD9_MOUSE.H11MO.0.D	Hoxd9
IKZF1_MOUSE.H11MO.0.C	Ikzf1
INSM1_MOUSE.H11MO.0.C	Insm1
IRF1_MOUSE.H11MO.0.A	Irf1
IRF2_MOUSE.H11MO.0.B	Irf2
IRF3_MOUSE.H11MO.0.A	Irf3
IRF4_MOUSE.H11MO.0.A	Irf4
IRF5_MOUSE.H11MO.0.D	Irf5
IRF7_MOUSE.H11MO.0.C	Irf7
IRF8_MOUSE.H11MO.0.A	Irf8
IRF9_MOUSE.H11MO.0.C	Irf9
ISL1_MOUSE.H11MO.0.A	Isl1
ITF2_MOUSE.H11MO.0.B	Tcf4
JUNB_MOUSE.H11MO.0.A	Junb
JUND_MOUSE.H11MO.0.A	Jund
JUN_MOUSE.H11MO.0.A	Jun
KAISO_MOUSE.H11MO.0.B	Zbtb33
KAISO_MOUSE.H11MO.1.B	Zbtb33
KAISO_MOUSE.H11MO.2.B	Zbtb33
KLF15_MOUSE.H11MO.0.A	Klf15
KLF1_MOUSE.H11MO.0.A	Klf1
KLF3_MOUSE.H11MO.0.A	Klf3
KLF4_MOUSE.H11MO.0.A	Klf4
KLF5_MOUSE.H11MO.0.A	Klf5
KLF6_MOUSE.H11MO.0.B	Klf6
KLF8_MOUSE.H11MO.0.C	Klf8
LEF1_MOUSE.H11MO.0.B	Lef1
LHX2_MOUSE.H11MO.0.A	Lhx2
LHX3_MOUSE.H11MO.0.C	Lhx3
LHX6_MOUSE.H11MO.0.C	Lhx6
LYL1_MOUSE.H11MO.0.A	Lyl1
MAFA_MOUSE.H11MO.0.D	Mafa
MAFB_MOUSE.H11MO.0.B	Mafb
MAFF_MOUSE.H11MO.0.A	Maff
MAFF_MOUSE.H11MO.1.A	Maff
MAFG_MOUSE.H11MO.0.A	Mafg
MAFG_MOUSE.H11MO.1.A	Mafg
MAFK_MOUSE.H11MO.0.A	Mafk
MAFK_MOUSE.H11MO.1.A	Mafk
MAF_MOUSE.H11MO.0.A	Maf
MAF_MOUSE.H11MO.1.A	Maf
MAX_MOUSE.H11MO.0.A	Max
MAZ_MOUSE.H11MO.0.A	Maz
MAZ_MOUSE.H11MO.1.A	Maz
MBD2_MOUSE.H11MO.0.B	Mbd2
MCR_MOUSE.H11MO.0.D	Nr3c2
MECP2_MOUSE.H11MO.0.C	Mecp2
MEF2A_MOUSE.H11MO.0.A	Mef2a
MEF2C_MOUSE.H11MO.0.A	Mef2c
MEF2D_MOUSE.H11MO.0.A	Mef2d
MEIS1_MOUSE.H11MO.0.A	Meis1
MEIS1_MOUSE.H11MO.1.A	Meis1
MEIS2_MOUSE.H11MO.0.B	Meis2
MITF_MOUSE.H11MO.0.A	Mitf
MLXPL_MOUSE.H11MO.0.D	Mlxipl
MSGN1_MOUSE.H11MO.0.C	Msgn1
MSX2_MOUSE.H11MO.0.D	Msx2
MSX3_MOUSE.H11MO.0.D	Msx3
MTF1_MOUSE.H11MO.0.C	Mtf1
MXI1_MOUSE.H11MO.0.A	Mxi1
MXI1_MOUSE.H11MO.1.A	Mxi1
MYBA_MOUSE.H11MO.0.C	Mybl1
MYBB_MOUSE.H11MO.0.D	Mybl2
MYB_MOUSE.H11MO.0.A	Myb
MYCN_MOUSE.H11MO.0.A	Mycn
MYC_MOUSE.H11MO.0.A	Myc
MYF5_MOUSE.H11MO.0.D	Myf5
MYF6_MOUSE.H11MO.0.C	Myf6
MYOD1_MOUSE.H11MO.0.A	Myod1
MYOD1_MOUSE.H11MO.1.A	Myod1
MYOG_MOUSE.H11MO.0.A	Myog
NANOG_MOUSE.H11MO.0.A	Nanog
NANOG_MOUSE.H11MO.1.A	Nanog
NDF1_MOUSE.H11MO.0.A	Neurod1
NDF2_MOUSE.H11MO.0.A	Neurod2
NF2L1_MOUSE.H11MO.0.C	Nfe2l1
NF2L2_MOUSE.H11MO.0.A	Nfe2l2
NFAC1_MOUSE.H11MO.0.A	Nfatc1
NFAC1_MOUSE.H11MO.1.A	Nfatc1
NFAC2_MOUSE.H11MO.0.C	Nfatc2
NFAC2_MOUSE.H11MO.1.C	Nfatc2
NFAC3_MOUSE.H11MO.0.B	Nfatc3
NFAC4_MOUSE.H11MO.0.C	Nfatc4
NFAT5_MOUSE.H11MO.0.D	Nfat5
NFE2_MOUSE.H11MO.0.A	Nfe2
NFIA_MOUSE.H11MO.0.C	Nfia
NFIA_MOUSE.H11MO.1.D	Nfia
NFIB_MOUSE.H11MO.0.C	Nfib
NFIC_MOUSE.H11MO.0.A	Nfic
NFIC_MOUSE.H11MO.1.A	Nfic
NFIL3_MOUSE.H11MO.0.C	Nfil3
NFKB1_MOUSE.H11MO.0.A	Nfkb1
NFKB2_MOUSE.H11MO.0.C	Nfkb2
NFYA_MOUSE.H11MO.0.A	Nfya
NFYB_MOUSE.H11MO.0.A	Nfyb
NFYC_MOUSE.H11MO.0.B	Nfyc
NGN2_MOUSE.H11MO.0.C	Neurog2
NKX21_MOUSE.H11MO.0.A	Nkx2-1
NKX22_MOUSE.H11MO.0.A	Nkx2-2
NKX25_MOUSE.H11MO.0.A	Nkx2-5
NKX28_MOUSE.H11MO.0.C	Nkx2-8
NKX31_MOUSE.H11MO.0.C	Nkx3-1
NKX32_MOUSE.H11MO.0.B	Nkx3-2
NKX61_MOUSE.H11MO.0.A	Nkx6-1
NKX61_MOUSE.H11MO.1.A	Nkx6-1
NOBOX_MOUSE.H11MO.0.C	Nobox
NR0B1_MOUSE.H11MO.0.D	Nr0b1
NR1D1_MOUSE.H11MO.0.A	Nr1d1
NR1D1_MOUSE.H11MO.1.C	Nr1d1
NR1D2_MOUSE.H11MO.0.A	Nr1d2
NR1H2_MOUSE.H11MO.0.D	Nr1h2
NR1H3_MOUSE.H11MO.0.A	Nr1h3
NR1H3_MOUSE.H11MO.1.A	Nr1h3
NR1H3_MOUSE.H11MO.2.A	Nr1h3
NR1H4_MOUSE.H11MO.0.A	Nr1h4
NR1H4_MOUSE.H11MO.1.A	Nr1h4
NR1I2_MOUSE.H11MO.0.C	Nr1i2
NR1I2_MOUSE.H11MO.1.D	Nr1i2
NR1I3_MOUSE.H11MO.0.C	Nr1i3
NR1I3_MOUSE.H11MO.1.D	Nr1i3
NR2C1_MOUSE.H11MO.0.C	Nr2c1
NR2C2_MOUSE.H11MO.0.A	Nr2c2
NR2E3_MOUSE.H11MO.0.C	Nr2e3
NR2F6_MOUSE.H11MO.0.D	Nr2f6
NR4A1_MOUSE.H11MO.0.B	Nr4a1
NR4A2_MOUSE.H11MO.0.C	Nr4a2
NR4A3_MOUSE.H11MO.0.D	Nr4a3
NR5A2_MOUSE.H11MO.0.A	Nr5a2
